"","name","description","page"
"60","ottg","VEGA gene ID(s) (OTTG)","feature_page"
"61","ottt","VEGA transcript ID(s) (OTTT)","feature_page"
"62","shares_cds_with_ottt","HAVANA transcript (where ENST shares CDS with OTTT)","feature_page"
"63","shares_cds_and_utr_with_ottt","HAVANA transcript (where ENST identical to OTTT)","feature_page"
"64","hgnc_id","HGNC ID(s)","feature_page"
"65","hgnc_symbol","HGNC symbol","feature_page"
"66","hgnc_transcript_name","HGNC transcript name","feature_page"
"67","kegg_enzyme","KEGG ID","feature_page"
"68","merops","MEROPS ID","feature_page"
"69","metacyc","MetaCyc ID","feature_page"
"70","mim_gene_accession","MIM Gene Accession","feature_page"
"71","mim_gene_description","MIM Gene Description","feature_page"
"72","mirbase_accession","miRBase Accession(s)","feature_page"
"73","mirbase_id","miRBase ID(s)","feature_page"
"74","mirbase_transcript_name","miRBase transcript name","feature_page"
"75","mim_morbid","MIM MORBID","feature_page"
"76","pdb","PDB ID","feature_page"
"77","protein_id","Protein (Genbank) ID [e.g. AAA02487]","feature_page"
"78","reactome","Reactome ID","feature_page"
"79","refseq_mrna","RefSeq mRNA [e.g. NM_001195597]","feature_page"
"80","refseq_mrna_predicted","RefSeq mRNA predicted [e.g. XM_001125684]","feature_page"
"81","refseq_ncrna","RefSeq ncRNA [e.g. NR_002834]","feature_page"
"82","refseq_ncrna_predicted","RefSeq ncRNA predicted [e.g. XR_108264]","feature_page"
"83","refseq_peptide","RefSeq Protein ID [e.g. NP_001005353]","feature_page"
"84","refseq_peptide_predicted","RefSeq Predicted Protein ID [e.g. XP_001720922]","feature_page"
"85","rfam","Rfam ID","feature_page"
"86","rfam_transcript_name","Rfam transcript name","feature_page"
"87","ucsc","UCSC ID","feature_page"
"88","unigene","Unigene ID","feature_page"
"89","uniparc","UniParc","feature_page"
"90","unipathway","UniPathway ID","feature_page"
"91","uniprot_sptrembl","UniProt/TrEMBL Accession","feature_page"
"92","uniprot_swissprot","UniProt/SwissProt Accession","feature_page"
"93","uniprot_genename","UniProt Accession ID","feature_page"
"94","uniprot_genename_transcript_name","Uniprot Transcript Name","feature_page"
"95","wikigene_name","WikiGene Name","feature_page"
"96","wikigene_id","WikiGene ID","feature_page"
"97","wikigene_description","WikiGene Description","feature_page"
"98","agilent_cgh_44b","Agilent CGH 44b probe","feature_page"
"99","efg_agilent_sureprint_g3_ge_8x60k","Agilent SurePrint G3 GE 8x60k probe","feature_page"
"100","efg_agilent_sureprint_g3_ge_8x60k_v2","Agilent SurePrint G3 GE 8x60k v2 probe","feature_page"
"101","efg_agilent_wholegenome_4x44k_v1","Agilent WholeGenome 4x44k v1 probe","feature_page"
"102","efg_agilent_wholegenome_4x44k_v2","Agilent WholeGenome 4x44k v2 probe","feature_page"
"103","affy_hc_g110","Affy HC G110 probeset","feature_page"
"104","affy_hg_focus","Affy HG FOCUS probeset","feature_page"
"105","affy_hg_u133_plus_2","Affy HG U133-PLUS-2 probeset","feature_page"
"106","affy_hg_u133a_2","Affy HG U133A_2 probeset","feature_page"
"107","affy_hg_u133a","Affy HG U133A probeset","feature_page"
"108","affy_hg_u133b","Affy HG U133B probeset","feature_page"
"109","affy_hg_u95av2","Affy HG U95AV2 probeset","feature_page"
"110","affy_hg_u95b","Affy HG U95B probeset","feature_page"
"111","affy_hg_u95c","Affy HG U95C probeset","feature_page"
"112","affy_hg_u95d","Affy HG U95D probeset","feature_page"
"113","affy_hg_u95e","Affy HG U95E probeset","feature_page"
"114","affy_hg_u95a","Affy HG U95A probeset","feature_page"
"115","affy_hugenefl","Affy HuGene FL probeset","feature_page"
"116","affy_primeview","Affy primeview","feature_page"
"117","affy_u133_x3p","Affy U133 X3P probeset","feature_page"
"118","codelink","Codelink probe","feature_page"
"119","illumina_humanwg_6_v1","Illumina HumanWG 6 v1 probe","feature_page"
"120","illumina_humanwg_6_v2","Illumina HumanWG 6 v2 probe","feature_page"
"121","illumina_humanwg_6_v3","Illumina HumanWG 6 v3 probe","feature_page"
"122","illumina_humanht_12_v3","Illumina Human HT 12 V3 probe ","feature_page"
"123","illumina_humanht_12_v4","Illumina Human HT 12 V4 probe ","feature_page"
"124","illumina_humanref_8_v3","Illumina Human Ref 8 V3 probe","feature_page"
"125","illumina_human_methylation_27","Illumina human methylation 27 probe","feature_page"
"126","illumina_human_methylation_450","Illumina human methylation 450 probe","feature_page"
"127","phalanx_onearray","Phalanx OneArray probe","feature_page"
"128","family","Ensembl Protein Family ID(s)","feature_page"
"129","family_description","Ensembl Family Description","feature_page"
"130","pirsf","PIRSF ID","feature_page"
"131","pirsf_start","PIRSF start","feature_page"
"132","pirsf_end","PIRSF end","feature_page"
"133","superfamily","SUPERFAMILY ID","feature_page"
"134","superfamily_start","SUPERFAMILY start","feature_page"
"135","superfamily_end","SUPERFAMILY end","feature_page"
"136","smart","SMART ID","feature_page"
"137","smart_start","SMART start","feature_page"
"138","smart_end","SMART end","feature_page"
"139","hamap","HAMAP Accession ID","feature_page"
"140","hamap_start","HAMAP start","feature_page"
"141","hamap_end","HAMAP end","feature_page"
"142","profile","Pfscan ID","feature_page"
"143","profile_start","Pfscan start","feature_page"
"144","profile_end","Pfscan end","feature_page"
"145","prosite","ScanProsite ID","feature_page"
"146","prosite_start","ScanProsite start","feature_page"
"147","prosite_end","ScanProsite end","feature_page"
"148","prints","PRINTS ID","feature_page"
"149","prints_start","PRINTS start","feature_page"
"150","prints_end","PRINTS end","feature_page"
"151","pfam","Pfam ID","feature_page"
"152","pfam_start","Pfam start","feature_page"
"153","pfam_end","Pfam end","feature_page"
"154","tigrfam","TIGRFAM ID","feature_page"
"155","tigrfam_start","TIGRFAM start","feature_page"
"156","tigrfam_end","TIGRFAM end","feature_page"
"157","gene3d","Gene3D ID","feature_page"
"158","gene3d_start","Gene3D start","feature_page"
"159","gene3d_end","Gene3D end","feature_page"
"160","hmmpanther","HMMPanther ID","feature_page"
"161","hmmpanther_start","HMMPanther start","feature_page"
"162","hmmpanther_end","HMMPanther end","feature_page"
"163","interpro","Interpro ID","feature_page"
"164","interpro_short_description","Interpro Short Description","feature_page"
"165","interpro_description","Interpro Description","feature_page"
"166","interpro_start","Interpro start","feature_page"
"167","interpro_end","Interpro end","feature_page"
"168","low_complexity","low complexity (SEG)","feature_page"
"169","low_complexity_start","low complexity (SEG) start","feature_page"
"170","low_complexity_end","low complexity (SEG) end","feature_page"
"171","transmembrane_domain","Transmembrane domain (tmhmm)","feature_page"
"172","transmembrane_domain_start","Transmembrane domain (tmhmm) start","feature_page"
"173","transmembrane_domain_end","Transmembrane domain (tmhmm) end","feature_page"
"174","signal_domain","signal peptide","feature_page"
"175","signal_domain_start","signal peptide start","feature_page"
"176","signal_domain_end","signal peptide end","feature_page"
"177","ncoils","coiled coil (ncoils)","feature_page"
"178","ncoils_start","coiled coil (ncoils) start","feature_page"
"179","ncoils_end","coiled coil (ncoils) end","feature_page"
"180","ensembl_gene_id","Gene ID","structure"
"181","ensembl_transcript_id","Transcript ID","structure"
"182","ensembl_peptide_id","Protein ID","structure"
"183","chromosome_name","Chromosome/scaffold name","structure"
"184","start_position","Gene Start (bp)","structure"
"185","end_position","Gene End (bp)","structure"
"186","transcript_start","Transcript Start (bp)","structure"
"187","transcript_end","Transcript End (bp)","structure"
"188","transcription_start_site","Transcription Start Site (TSS)","structure"
"189","transcript_length","Transcript length (including UTRs and CDS)","structure"
"190","strand","Strand","structure"
"191","external_gene_name","Associated Gene Name","structure"
"192","external_gene_source","Associated Gene Source","structure"
"193","5_utr_start","5' UTR Start","structure"
"194","5_utr_end","5' UTR End","structure"
"195","3_utr_start","3' UTR Start","structure"
"196","3_utr_end","3' UTR End","structure"
"197","cds_length","CDS Length","structure"
"198","transcript_count","Transcript count","structure"
"199","description","Description","structure"
"200","gene_biotype","Gene type","structure"
"201","exon_chrom_start","Exon Chr Start (bp)","structure"
"202","exon_chrom_end","Exon Chr End (bp)","structure"
"203","is_constitutive","Constitutive Exon","structure"
"204","rank","Exon Rank in Transcript","structure"
"205","phase","start phase","structure"
"206","end_phase","end phase","structure"
"207","cdna_coding_start","cDNA coding start","structure"
"208","cdna_coding_end","cDNA coding end","structure"
"209","genomic_coding_start","Genomic coding start","structure"
"210","genomic_coding_end","Genomic coding end","structure"
"211","ensembl_exon_id","Exon ID","structure"
"212","cds_start","CDS Start","structure"
"213","cds_end","CDS End","structure"
"214","ensembl_gene_id","Gene ID","homologs"
"215","ensembl_transcript_id","Transcript ID","homologs"
"216","ensembl_peptide_id","Protein ID","homologs"
"217","chromosome_name","Chromosome/scaffold name","homologs"
"218","start_position","Gene Start (bp)","homologs"
"219","end_position","Gene End (bp)","homologs"
"220","strand","Strand","homologs"
"221","band","Band","homologs"
"222","external_gene_name","Associated Gene Name","homologs"
"223","external_gene_source","Associated Gene Source","homologs"
"224","transcript_count","Transcript count","homologs"
"225","percentage_gc_content","% GC content","homologs"
"226","description","Description","homologs"
"227","vpacos_homolog_ensembl_gene","Alpaca gene stable ID","homologs"
"228","vpacos_homolog_associated_gene_name","Alpaca associated gene name","homologs"
"229","vpacos_homolog_ensembl_peptide","Alpaca protein or transcript stable ID","homologs"
"230","vpacos_homolog_chromosome","Alpaca chromosome/scaffold name","homologs"
"231","vpacos_homolog_chrom_start","Alpaca chromosome/scaffold start (bp)","homologs"
"232","vpacos_homolog_chrom_end","Alpaca chromosome/scaffold end (bp)","homologs"
"233","vpacos_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"234","vpacos_homolog_subtype","Last common ancestor with Alpaca","homologs"
"235","vpacos_homolog_orthology_type","Alpaca homology type","homologs"
"236","vpacos_homolog_perc_id","%id. target Alpaca gene identical to query gene","homologs"
"237","vpacos_homolog_perc_id_r1","%id. query gene identical to target Alpaca gene","homologs"
"238","vpacos_homolog_goc_score","Alpaca Gene-order conservation score","homologs"
"239","vpacos_homolog_wga_coverage","Alpaca Whole-genome alignment coverage","homologs"
"240","vpacos_homolog_dn","dN with Alpaca","homologs"
"241","vpacos_homolog_ds","dS with Alpaca","homologs"
"242","vpacos_homolog_orthology_confidence","Alpaca orthology confidence [0 low, 1 high]","homologs"
"243","acarolinensis_homolog_ensembl_gene","Anole lizard gene stable ID","homologs"
"244","acarolinensis_homolog_associated_gene_name","Anole lizard associated gene name","homologs"
"245","acarolinensis_homolog_ensembl_peptide","Anole lizard protein or transcript stable ID","homologs"
"246","acarolinensis_homolog_chromosome","Anole lizard chromosome/scaffold name","homologs"
"247","acarolinensis_homolog_chrom_start","Anole lizard chromosome/scaffold start (bp)","homologs"
"248","acarolinensis_homolog_chrom_end","Anole lizard chromosome/scaffold end (bp)","homologs"
"249","acarolinensis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"250","acarolinensis_homolog_subtype","Last common ancestor with Anole lizard","homologs"
"251","acarolinensis_homolog_orthology_type","Anole lizard homology type","homologs"
"252","acarolinensis_homolog_perc_id","%id. target Anole lizard gene identical to query gene","homologs"
"253","acarolinensis_homolog_perc_id_r1","%id. query gene identical to target Anole lizard gene","homologs"
"254","acarolinensis_homolog_goc_score","Anole lizard Gene-order conservation score","homologs"
"255","acarolinensis_homolog_wga_coverage","Anole lizard Whole-genome alignment coverage","homologs"
"256","acarolinensis_homolog_dn","dN with Anole lizard","homologs"
"257","acarolinensis_homolog_ds","dS with Anole lizard","homologs"
"258","acarolinensis_homolog_orthology_confidence","Anole lizard orthology confidence [0 low, 1 high]","homologs"
"259","dnovemcinctus_homolog_ensembl_gene","Armadillo gene stable ID","homologs"
"260","dnovemcinctus_homolog_associated_gene_name","Armadillo associated gene name","homologs"
"261","dnovemcinctus_homolog_ensembl_peptide","Armadillo protein or transcript stable ID","homologs"
"262","dnovemcinctus_homolog_chromosome","Armadillo chromosome/scaffold name","homologs"
"263","dnovemcinctus_homolog_chrom_start","Armadillo chromosome/scaffold start (bp)","homologs"
"264","dnovemcinctus_homolog_chrom_end","Armadillo chromosome/scaffold end (bp)","homologs"
"265","dnovemcinctus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"266","dnovemcinctus_homolog_subtype","Last common ancestor with Armadillo","homologs"
"267","dnovemcinctus_homolog_orthology_type","Armadillo homology type","homologs"
"268","dnovemcinctus_homolog_perc_id","%id. target Armadillo gene identical to query gene","homologs"
"269","dnovemcinctus_homolog_perc_id_r1","%id. query gene identical to target Armadillo gene","homologs"
"270","dnovemcinctus_homolog_goc_score","Armadillo Gene-order conservation score","homologs"
"271","dnovemcinctus_homolog_wga_coverage","Armadillo Whole-genome alignment coverage","homologs"
"272","dnovemcinctus_homolog_dn","dN with Armadillo","homologs"
"273","dnovemcinctus_homolog_ds","dS with Armadillo","homologs"
"274","dnovemcinctus_homolog_orthology_confidence","Armadillo orthology confidence [0 low, 1 high]","homologs"
"275","ogarnettii_homolog_ensembl_gene","Bushbaby gene stable ID","homologs"
"276","ogarnettii_homolog_associated_gene_name","Bushbaby associated gene name","homologs"
"277","ogarnettii_homolog_ensembl_peptide","Bushbaby protein or transcript stable ID","homologs"
"278","ogarnettii_homolog_chromosome","Bushbaby chromosome/scaffold name","homologs"
"279","ogarnettii_homolog_chrom_start","Bushbaby chromosome/scaffold start (bp)","homologs"
"280","ogarnettii_homolog_chrom_end","Bushbaby chromosome/scaffold end (bp)","homologs"
"281","ogarnettii_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"282","ogarnettii_homolog_subtype","Last common ancestor with Bushbaby","homologs"
"283","ogarnettii_homolog_orthology_type","Bushbaby homology type","homologs"
"284","ogarnettii_homolog_perc_id","%id. target Bushbaby gene identical to query gene","homologs"
"285","ogarnettii_homolog_perc_id_r1","%id. query gene identical to target Bushbaby gene","homologs"
"286","ogarnettii_homolog_goc_score","Bushbaby Gene-order conservation score","homologs"
"287","ogarnettii_homolog_wga_coverage","Bushbaby Whole-genome alignment coverage","homologs"
"288","ogarnettii_homolog_dn","dN with Bushbaby","homologs"
"289","ogarnettii_homolog_ds","dS with Bushbaby","homologs"
"290","ogarnettii_homolog_orthology_confidence","Bushbaby orthology confidence [0 low, 1 high]","homologs"
"291","cintestinalis_homolog_ensembl_gene","C.intestinalis gene stable ID","homologs"
"292","cintestinalis_homolog_associated_gene_name","C.intestinalis associated gene name","homologs"
"293","cintestinalis_homolog_ensembl_peptide","C.intestinalis protein or transcript stable ID","homologs"
"294","cintestinalis_homolog_chromosome","C.intestinalis chromosome/scaffold name","homologs"
"295","cintestinalis_homolog_chrom_start","C.intestinalis chromosome/scaffold start (bp)","homologs"
"296","cintestinalis_homolog_chrom_end","C.intestinalis chromosome/scaffold end (bp)","homologs"
"297","cintestinalis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"298","cintestinalis_homolog_subtype","Last common ancestor with C.intestinalis","homologs"
"299","cintestinalis_homolog_orthology_type","C.intestinalis homology type","homologs"
"300","cintestinalis_homolog_perc_id","%id. target C.intestinalis gene identical to query gene","homologs"
"301","cintestinalis_homolog_perc_id_r1","%id. query gene identical to target C.intestinalis gene","homologs"
"302","cintestinalis_homolog_goc_score","C.intestinalis Gene-order conservation score","homologs"
"303","cintestinalis_homolog_wga_coverage","C.intestinalis Whole-genome alignment coverage","homologs"
"304","cintestinalis_homolog_dn","dN with C.intestinalis","homologs"
"305","cintestinalis_homolog_ds","dS with C.intestinalis","homologs"
"306","cintestinalis_homolog_orthology_confidence","C.intestinalis orthology confidence [0 low, 1 high]","homologs"
"307","csavignyi_homolog_ensembl_gene","C.savignyi gene stable ID","homologs"
"308","csavignyi_homolog_associated_gene_name","C.savignyi associated gene name","homologs"
"309","csavignyi_homolog_ensembl_peptide","C.savignyi protein or transcript stable ID","homologs"
"310","csavignyi_homolog_chromosome","C.savignyi chromosome/scaffold name","homologs"
"311","csavignyi_homolog_chrom_start","C.savignyi chromosome/scaffold start (bp)","homologs"
"312","csavignyi_homolog_chrom_end","C.savignyi chromosome/scaffold end (bp)","homologs"
"313","csavignyi_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"314","csavignyi_homolog_subtype","Last common ancestor with C.savignyi","homologs"
"315","csavignyi_homolog_orthology_type","C.savignyi homology type","homologs"
"316","csavignyi_homolog_perc_id","%id. target C.savignyi gene identical to query gene","homologs"
"317","csavignyi_homolog_perc_id_r1","%id. query gene identical to target C.savignyi gene","homologs"
"318","csavignyi_homolog_goc_score","C.savignyi Gene-order conservation score","homologs"
"319","csavignyi_homolog_wga_coverage","C.savignyi Whole-genome alignment coverage","homologs"
"320","csavignyi_homolog_dn","dN with C.savignyi","homologs"
"321","csavignyi_homolog_ds","dS with C.savignyi","homologs"
"322","csavignyi_homolog_orthology_confidence","C.savignyi orthology confidence [0 low, 1 high]","homologs"
"323","celegans_homolog_ensembl_gene","Caenorhabditis elegans gene stable ID","homologs"
"324","celegans_homolog_associated_gene_name","Caenorhabditis elegans associated gene name","homologs"
"325","celegans_homolog_ensembl_peptide","Caenorhabditis elegans protein or transcript stable ID","homologs"
"326","celegans_homolog_chromosome","Caenorhabditis elegans chromosome/scaffold name","homologs"
"327","celegans_homolog_chrom_start","Caenorhabditis elegans chromosome/scaffold start (bp)","homologs"
"328","celegans_homolog_chrom_end","Caenorhabditis elegans chromosome/scaffold end (bp)","homologs"
"329","celegans_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"330","celegans_homolog_subtype","Last common ancestor with Caenorhabditis elegans","homologs"
"331","celegans_homolog_orthology_type","Caenorhabditis elegans homology type","homologs"
"332","celegans_homolog_perc_id","%id. target Caenorhabditis elegans gene identical to query gene","homologs"
"333","celegans_homolog_perc_id_r1","%id. query gene identical to target Caenorhabditis elegans gene","homologs"
"334","celegans_homolog_goc_score","Caenorhabditis elegans Gene-order conservation score","homologs"
"335","celegans_homolog_wga_coverage","Caenorhabditis elegans Whole-genome alignment coverage","homologs"
"336","celegans_homolog_dn","dN with Caenorhabditis elegans","homologs"
"337","celegans_homolog_ds","dS with Caenorhabditis elegans","homologs"
"338","celegans_homolog_orthology_confidence","Caenorhabditis elegans orthology confidence [0 low, 1 high]","homologs"
"339","fcatus_homolog_ensembl_gene","Cat gene stable ID","homologs"
"340","fcatus_homolog_associated_gene_name","Cat associated gene name","homologs"
"341","fcatus_homolog_ensembl_peptide","Cat protein or transcript stable ID","homologs"
"342","fcatus_homolog_chromosome","Cat chromosome/scaffold name","homologs"
"343","fcatus_homolog_chrom_start","Cat chromosome/scaffold start (bp)","homologs"
"344","fcatus_homolog_chrom_end","Cat chromosome/scaffold end (bp)","homologs"
"345","fcatus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"346","fcatus_homolog_subtype","Last common ancestor with Cat","homologs"
"347","fcatus_homolog_orthology_type","Cat homology type","homologs"
"348","fcatus_homolog_perc_id","%id. target Cat gene identical to query gene","homologs"
"349","fcatus_homolog_perc_id_r1","%id. query gene identical to target Cat gene","homologs"
"350","fcatus_homolog_goc_score","Cat Gene-order conservation score","homologs"
"351","fcatus_homolog_wga_coverage","Cat Whole-genome alignment coverage","homologs"
"352","fcatus_homolog_dn","dN with Cat","homologs"
"353","fcatus_homolog_ds","dS with Cat","homologs"
"354","fcatus_homolog_orthology_confidence","Cat orthology confidence [0 low, 1 high]","homologs"
"355","amexicanus_homolog_ensembl_gene","Cave fish gene stable ID","homologs"
"356","amexicanus_homolog_associated_gene_name","Cave fish associated gene name","homologs"
"357","amexicanus_homolog_ensembl_peptide","Cave fish protein or transcript stable ID","homologs"
"358","amexicanus_homolog_chromosome","Cave fish chromosome/scaffold name","homologs"
"359","amexicanus_homolog_chrom_start","Cave fish chromosome/scaffold start (bp)","homologs"
"360","amexicanus_homolog_chrom_end","Cave fish chromosome/scaffold end (bp)","homologs"
"361","amexicanus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"362","amexicanus_homolog_subtype","Last common ancestor with Cave fish","homologs"
"363","amexicanus_homolog_orthology_type","Cave fish homology type","homologs"
"364","amexicanus_homolog_perc_id","%id. target Cave fish gene identical to query gene","homologs"
"365","amexicanus_homolog_perc_id_r1","%id. query gene identical to target Cave fish gene","homologs"
"366","amexicanus_homolog_goc_score","Cave fish Gene-order conservation score","homologs"
"367","amexicanus_homolog_wga_coverage","Cave fish Whole-genome alignment coverage","homologs"
"368","amexicanus_homolog_dn","dN with Cave fish","homologs"
"369","amexicanus_homolog_ds","dS with Cave fish","homologs"
"370","amexicanus_homolog_orthology_confidence","Cave fish orthology confidence [0 low, 1 high]","homologs"
"371","ggallus_homolog_ensembl_gene","Chicken gene stable ID","homologs"
"372","ggallus_homolog_associated_gene_name","Chicken associated gene name","homologs"
"373","ggallus_homolog_ensembl_peptide","Chicken protein or transcript stable ID","homologs"
"374","ggallus_homolog_chromosome","Chicken chromosome/scaffold name","homologs"
"375","ggallus_homolog_chrom_start","Chicken chromosome/scaffold start (bp)","homologs"
"376","ggallus_homolog_chrom_end","Chicken chromosome/scaffold end (bp)","homologs"
"377","ggallus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"378","ggallus_homolog_subtype","Last common ancestor with Chicken","homologs"
"379","ggallus_homolog_orthology_type","Chicken homology type","homologs"
"380","ggallus_homolog_perc_id","%id. target Chicken gene identical to query gene","homologs"
"381","ggallus_homolog_perc_id_r1","%id. query gene identical to target Chicken gene","homologs"
"382","ggallus_homolog_goc_score","Chicken Gene-order conservation score","homologs"
"383","ggallus_homolog_wga_coverage","Chicken Whole-genome alignment coverage","homologs"
"384","ggallus_homolog_dn","dN with Chicken","homologs"
"385","ggallus_homolog_ds","dS with Chicken","homologs"
"386","ggallus_homolog_orthology_confidence","Chicken orthology confidence [0 low, 1 high]","homologs"
"387","ptroglodytes_homolog_ensembl_gene","Chimpanzee gene stable ID","homologs"
"388","ptroglodytes_homolog_associated_gene_name","Chimpanzee associated gene name","homologs"
"389","ptroglodytes_homolog_ensembl_peptide","Chimpanzee protein or transcript stable ID","homologs"
"390","ptroglodytes_homolog_chromosome","Chimpanzee chromosome/scaffold name","homologs"
"391","ptroglodytes_homolog_chrom_start","Chimpanzee chromosome/scaffold start (bp)","homologs"
"392","ptroglodytes_homolog_chrom_end","Chimpanzee chromosome/scaffold end (bp)","homologs"
"393","ptroglodytes_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"394","ptroglodytes_homolog_subtype","Last common ancestor with Chimpanzee","homologs"
"395","ptroglodytes_homolog_orthology_type","Chimpanzee homology type","homologs"
"396","ptroglodytes_homolog_perc_id","%id. target Chimpanzee gene identical to query gene","homologs"
"397","ptroglodytes_homolog_perc_id_r1","%id. query gene identical to target Chimpanzee gene","homologs"
"398","ptroglodytes_homolog_goc_score","Chimpanzee Gene-order conservation score","homologs"
"399","ptroglodytes_homolog_wga_coverage","Chimpanzee Whole-genome alignment coverage","homologs"
"400","ptroglodytes_homolog_dn","dN with Chimpanzee","homologs"
"401","ptroglodytes_homolog_ds","dS with Chimpanzee","homologs"
"402","ptroglodytes_homolog_orthology_confidence","Chimpanzee orthology confidence [0 low, 1 high]","homologs"
"403","psinensis_homolog_ensembl_gene","Chinese softshell turtle gene stable ID","homologs"
"404","psinensis_homolog_associated_gene_name","Chinese softshell turtle associated gene name","homologs"
"405","psinensis_homolog_ensembl_peptide","Chinese softshell turtle protein or transcript stable ID","homologs"
"406","psinensis_homolog_chromosome","Chinese softshell turtle chromosome/scaffold name","homologs"
"407","psinensis_homolog_chrom_start","Chinese softshell turtle chromosome/scaffold start (bp)","homologs"
"408","psinensis_homolog_chrom_end","Chinese softshell turtle chromosome/scaffold end (bp)","homologs"
"409","psinensis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"410","psinensis_homolog_subtype","Last common ancestor with Chinese softshell turtle","homologs"
"411","psinensis_homolog_orthology_type","Chinese softshell turtle homology type","homologs"
"412","psinensis_homolog_perc_id","%id. target Chinese softshell turtle gene identical to query gene","homologs"
"413","psinensis_homolog_perc_id_r1","%id. query gene identical to target Chinese softshell turtle gene","homologs"
"414","psinensis_homolog_goc_score","Chinese softshell turtle Gene-order conservation score","homologs"
"415","psinensis_homolog_wga_coverage","Chinese softshell turtle Whole-genome alignment coverage","homologs"
"416","psinensis_homolog_dn","dN with Chinese softshell turtle","homologs"
"417","psinensis_homolog_ds","dS with Chinese softshell turtle","homologs"
"418","psinensis_homolog_orthology_confidence","Chinese softshell turtle orthology confidence [0 low, 1 high]","homologs"
"419","gmorhua_homolog_ensembl_gene","Cod gene stable ID","homologs"
"420","gmorhua_homolog_associated_gene_name","Cod associated gene name","homologs"
"421","gmorhua_homolog_ensembl_peptide","Cod protein or transcript stable ID","homologs"
"422","gmorhua_homolog_chromosome","Cod chromosome/scaffold name","homologs"
